WKT,nombre,descripción
"POINT (2.0803203 41.4727853)",Punto 10,
"POINT (2.0811679 41.4716887)",Punto 12,
"POINT (2.0808031 41.4709492)",Punto 13,
"POINT (2.0823588 41.4712305)",Punto 14,
"POINT (2.0829596 41.4720746)",Punto 15,
"POINT (2.0838072 41.4712386)",Punto 16,
"POINT (2.0849831 41.471403)",Punto 17,
"POINT (2.0837493 41.4727776)",Punto 18,
"POINT (2.0823331 41.4730389)",Punto 19,
"POINT (2.0821828 41.4742969)",Punto 20,
"POINT (2.0821185 41.4752053)",Punto 21,
"POINT (2.0844788 41.4759689)",Punto 22,
"POINT (2.0854659 41.4732439)",Punto 23,
"POINT (2.0916886 41.4731313)",Punto 24,
"POINT (2.0921499 41.4719737)",Punto 25,
"POINT (2.0965488 41.4713789)",Punto 26,
"POINT (2.0953686 41.4696263)",Punto 27,
"POINT (2.0901544 41.4701408)",Punto 28,
"POINT (2.0875286 41.469912)",Punto 29,
"POINT (2.0863055 41.4706195)",Punto 30,
"POINT (2.0830998 41.469402)",Punto 31,
"POINT (2.0816193 41.4687267)",Punto 32,
"POINT (2.0829925 41.4677137)",Punto 33,
"POINT (2.0834646 41.4620055)",Punto 34,
"POINT (2.0863399 41.4667168)",Punto 35,
"POINT (2.088829 41.4678584)",Punto 36,
"POINT (2.0910821 41.4657682)",Punto 37,
"POINT (2.0879922 41.4612658)",Punto 38,
"POINT (2.0901594 41.4574707)",Punto 39,
"POINT (2.0902023 41.4551549)",Punto 40,
"POINT (2.0850954 41.4543669)",Punto 41,
"POINT (2.0774565 41.4561681)",Punto 42,
"POINT (2.0742378 41.4601401)",Punto 43,
"POINT (2.0762548 41.4628417)",Punto 44,
"POINT (2.0791302 41.4629703)",Punto 45,
"POINT (2.080761 41.4664756)",Punto 46,
"POINT (2.0793447 41.4676977)",Punto 47,
"POINT (2.0786225 41.4698139)",Punto 48,
"POINT (2.0788907 41.4726637)",Punto 49,
"POINT (2.0802533 41.4753245)",Punto 50,
"POINT (2.077378 41.477535)",Punto 51,
"POINT (2.0769488 41.4767553)",Punto 52,
"POINT (2.0782363 41.4760801)",Punto 53,
"POINT (2.0768844 41.4754531)",Punto 54,
"POINT (2.0779573 41.4743599)",Punto 55,
