WKT,nombre,descripción
"POINT (2.0718938 41.478314)",Punto 1,
"POINT (2.0735567 41.4784346)",Punto 2,
"POINT (2.0734709 41.4797608)",Punto 3,
"POINT (2.0711427 41.4793509)",Punto 4,
"POINT (2.0699197 41.4809424)",Punto 5,
"POINT (2.0720869 41.4823249)",Punto 6,
"POINT (2.0704561 41.4849772)",Punto 7,
"POINT (2.0683962 41.4850415)",Punto 8,
"POINT (2.0669156 41.4829679)",Punto 9,
"POINT (2.0633965 41.4852505)",Punto 10,
"POINT (2.0660358 41.4875973)",Punto 11,
"POINT (2.0730739 41.497691)",Punto 12,
"POINT (2.0594234 41.4864427)",Punto 13,
"POINT (2.0581236 41.4802665)",Punto 15,
"POINT (2.0505275 41.4820027)",Punto 16,
"POINT (2.0473089 41.4778216)",Punto 14,
"POINT (2.0494183 41.4749652)",Punto 32,
"POINT (2.0446078 41.4722231)",Punto 17,
"POINT (2.0431379 41.4725607)",Punto 18,
"POINT (2.0431379 41.4704304)",Punto 19,
"POINT (2.0418397 41.4698034)",Punto 20,
"POINT (2.041036 41.470141)",Punto 23,
"POINT (2.0401884 41.4687181)",Punto 24,
"POINT (2.0371575 41.4717006)",Punto 21,
"POINT (2.0353121 41.4694898)",Punto 22,
"POINT (2.0367981 41.4688628)",Punto 25,
"POINT (2.0347489 41.4666519)",Punto 26,
"POINT (2.0366223 41.4662187)",Punto 27,
"POINT (2.0377166 41.4676979)",Punto 28,
"POINT (2.039798 41.4669422)",Punto 29,
"POINT (2.040431 41.4677462)",Punto 30,
"POINT (2.0434458 41.4682929)",Punto 31,
"POINT (2.0457919 41.4703991)",Punto 33,
"POINT (2.052079 41.4723124)",Punto 34,
"POINT (2.0527228 41.4715568)",Punto 35,
"POINT (2.0493324 41.4701419)",Punto 36,
"POINT (2.0495685 41.4686466)",Punto 37,
"POINT (2.0470579 41.4681482)",Punto 38,
"POINT (2.0458992 41.4654629)",Punto 39,
"POINT (2.0531305 41.4674728)",Punto 40,
"POINT (2.0543106 41.4694505)",Punto 41,
"POINT (2.0598692 41.4693536)",Punto 42,
"POINT (2.0581097 41.4664595)",Punto 44,
"POINT (2.062294 41.4653982)",Punto 43,
"POINT (2.0660061 41.4596898)",Punto 45,
"POINT (2.0725293 41.4632114)",Punto 46,
"POINT (2.0699973 41.4640636)",Punto 47,
"POINT (2.0667786 41.4656716)",Punto 48,
"POINT (2.0730013 41.4661861)",Punto 49,
"POINT (2.0768423 41.4666685)",Punto 50,
"POINT (2.075705 41.4682925)",Punto 51,
"POINT (2.0680661 41.4685658)",Punto 52,
"POINT (2.0678985 41.4705808)",Punto 53,
"POINT (2.0621559 41.4706404)",Punto 65,
"POINT (2.0576927 41.4703269)",Punto 66,
"POINT (2.053436 41.4718945)",Punto 67,
"POINT (2.0550775 41.4737354)",Punto 68,
"POINT (2.0576846 41.4722482)",Punto 69,
"POINT (2.0615685 41.4717739)",Punto 70,
"POINT (2.0632743 41.4737595)",Punto 71,
"POINT (2.0664796 41.474065)",Punto 54,
"POINT (2.0669651 41.472401)",Punto 14,
"POINT (2.069025 41.4725617)",Punto 72,
"POINT (2.0699128 41.4740167)",Punto 55,
"POINT (2.072756 41.4726743)",Punto 56,
"POINT (2.0721659 41.4704877)",Punto 57,
"POINT (2.076908 41.4701983)",Punto 58,
"POINT (2.0769295 41.4729878)",Punto 59,
"POINT (2.0745584 41.4749251)",Punto 60,
"POINT (2.0719942 41.4759741)",Punto 61,
"POINT (2.0691189 41.4762273)",Punto 62,
"POINT (2.0660183 41.4764926)",Punto 63,
"POINT (2.0668873 41.4782047)",Punto 64,
"LINESTRING (2.0718938 41.478314, 2.0735567 41.4784346, 2.0734709 41.4797608, 2.0711427 41.4793509, 2.0699197 41.4809424, 2.0720869 41.4823249, 2.0704561 41.4849772, 2.0683962 41.4850415, 2.0669156 41.4829679, 2.0633965 41.4852505, 2.0660358 41.4875973, 2.0730739 41.497691, 2.0594234 41.4864427, 2.0581236 41.4802665, 2.0505275 41.4820027, 2.0473089 41.4778216, 2.0494183 41.4749652, 2.0446078 41.4722231, 2.0431379 41.4725607, 2.0431379 41.4704304, 2.0418397 41.4698034, 2.041036 41.470141, 2.0401884 41.4687181, 2.0371575 41.4717006, 2.0353121 41.4694898, 2.0367981 41.4688628, 2.0347489 41.4666519, 2.0366223 41.4662187, 2.0377166 41.4676979, 2.039798 41.4669422, 2.040431 41.4677462, 2.0434458 41.4682929, 2.0457919 41.4703991, 2.052079 41.4723124, 2.0527228 41.4715568, 2.0493324 41.4701419, 2.0495685 41.4686466, 2.0470579 41.4681482, 2.0458992 41.4654629, 2.0531305 41.4674728, 2.0543106 41.4694505, 2.0598692 41.4693536, 2.0581097 41.4664595, 2.062294 41.4653982, 2.0660061 41.4596898, 2.0725293 41.4632114, 2.0699973 41.4640636, 2.0667786 41.4656716, 2.0730013 41.4661861, 2.0768423 41.4666685, 2.075705 41.4682925, 2.0680661 41.4685658, 2.0678985 41.4705808, 2.0621559 41.4706404, 2.0576927 41.4703269, 2.053436 41.4718945, 2.0550775 41.4737354, 2.0576846 41.4722482, 2.0615685 41.4717739, 2.0632743 41.4737595, 2.0664796 41.474065, 2.0669651 41.472401, 2.069025 41.4725617, 2.0699128 41.4740167, 2.072756 41.4726743, 2.0721659 41.4704877, 2.076908 41.4701983, 2.0769295 41.4729878, 2.0745584 41.4749251, 2.0719942 41.4759741, 2.0691189 41.4762273, 2.0660183 41.4764926, 2.0668873 41.4782047)",Línea 74,
