WKT,nombre,descripción
"POINT (2.07387 41.47965)",41.47965, 2.07387,
"POINT (2.07591 41.49077)",41.49077, 2.07591,
"POINT (2.08694 41.49193)",41.49193, 2.08694,
"POINT (2.10226 41.47682)",41.47682, 2.10226,
"POINT (2.09789 41.47181)",41.47181, 2.09789,
"POINT (2.09179 41.47386)",41.47386, 2.09179,
"POINT (2.0861364 41.4733773)",41.47337, 2.08613,
"POINT (2.08482 41.4765)",41.4765, 2.08482,
"POINT (2.08279 41.47589)",41.47589, 2.08279,
"POLYGON ((2.0738646 41.479646, 2.0827846 41.475886, 2.0848218 41.476499, 2.086131 41.4733733, 2.0917846 41.473856, 2.0978846 41.471806, 2.1022546 41.476816, 2.0869346 41.491926, 2.0759046 41.490766, 2.0738646 41.479646))",Poligon Fabriques,
