WKT,nombre,descripción
"POINT (2.07387 41.47965)",41.47965, 2.07387,
"POINT (2.07736 41.47356)",41.47356, 2.07736,
"POINT (2.07834 41.46837)",41.46837, 2.07834,
"POINT (2.077763 41.4665435)",41.46654, 2.07776,
"POINT (2.060988 41.4505384)",41.45053, 2.06098,
"POINT (2.0327497 41.4529186)",41.45291, 2.03274,
"POINT (2.067 41.45779)",41.45779, 2.067,
"POINT (2.0317197 41.4677129)",41.46771, 2.03171,
"POINT (2.0497872 41.4885156)",41.48851, 2.04978,
"POINT (2.0648273 41.4992161)",41.49921, 2.06482,
"POINT (2.0767034 41.499281)",41.49928, 2.0767,
"POINT (2.07591 41.49077)",41.49077, 2.07591,
"POLYGON ((2.07387 41.47965, 2.07591 41.49077, 2.0767034 41.499281, 2.0648273 41.4992161, 2.0497872 41.4885156, 2.0317197 41.4677129, 2.0327497 41.4529186, 2.060988 41.4505384, 2.0670081 41.4577936, 2.077763 41.4665475, 2.07834 41.46837, 2.07736 41.47356, 2.07387 41.47965))",Poligon Mirasol,
