WKT,nombre,descripción
"POINT (2.07387 41.47965)",41.47965, 2.07387,
"POINT (2.0828222 41.4759141)",41.47589, 2.08279,
"POINT (2.0848272 41.476503)",41.4765, 2.08482,
"POINT (2.0861364 41.4733853)",41.47338, 2.08613,
"POINT (2.09179 41.47386)",41.47386, 2.09179,
"POINT (2.09789 41.47181)",41.47181, 2.09789,
"POINT (2.0952644 41.4538879)",41.45388, 2.09526,
"POINT (2.0745948 41.4502071)",41.4502, 2.07459,
"POINT (2.0670081 41.4577936)",41.45779, 2.067,
"POINT (2.077763 41.4665475)",41.46654, 2.07776,
"POINT (2.07834 41.46837)",41.46837, 2.07834,
"POINT (2.07736 41.47356)",41.47356, 2.07736,
"POLYGON ((2.07387 41.47965, 2.07736 41.47356, 2.07834 41.46837, 2.077763 41.4665475, 2.0670081 41.4577936, 2.0745948 41.4502071, 2.0952644 41.4538879, 2.09789 41.47181, 2.09179 41.47386, 2.0861364 41.4733773, 2.0848272 41.476503, 2.08279 41.47589, 2.07387 41.47965))",Poligon Centre,
