TIPUS_VIA,CARRER,CODI_ENS,NOM_ENS
CARRER,ABAT ARMENGOL,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ABAT BIURE,"820550006",Ajuntament de Sant Cugat del Vallès
PLAÇA,ABAT DONADEU,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ABAT ESCARRE,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ABAT GUILLEM D'AVINYO,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ABAT GUITART,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ABAT MARCET,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ABAT ODO,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ABAT TEODOR,"820550006",Ajuntament de Sant Cugat del Vallès
PLAÇA,ABATS,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ABELLA,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ABELLES,"820550006",Ajuntament de Sant Cugat del Vallès
PASSEIG,ACACIES,"820550006",Ajuntament de Sant Cugat del Vallès
PASSATGE,ADRIA,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ADRIA GUAL,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ADRIA PARDOS,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ADVOCATS,"820550006",Ajuntament de Sant Cugat del Vallès
PASSATGE,AGRO,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,AGUILA,"820550006",Ajuntament de Sant Cugat del Vallès
PLAÇA,AIGUALLONGA,"820550006",Ajuntament de Sant Cugat del Vallès
PASSATGE,AIGUES DE SABADELL,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,AIGUES DE SABADELL,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,AILANT,"820550006",Ajuntament de Sant Cugat del Vallès
PLAÇA,AIXADES,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ALACANT,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ALADERN,"820550006",Ajuntament de Sant Cugat del Vallès
BAIXADA,ALBA,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ALBACETE,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ALBERCOC,"820550006",Ajuntament de Sant Cugat del Vallès
PASSATGE,ALBERS,"820550006",Ajuntament de Sant Cugat del Vallès
PASSEIG,ALBERS,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ALBERT ROSAS,"820550006",Ajuntament de Sant Cugat del Vallès
AVINGUDA,ALCALDE BARNILS,"820550006",Ajuntament de Sant Cugat del Vallès
PLAÇA,ALCALDE MAGI BARTRALOT,"820550006",Ajuntament de Sant Cugat del Vallès
PASSATGE,ALEGRIA,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ALELLA,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ALEXANDRE EL GRAN,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ALFONS D'ARAGO,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ALFONS EL MAGNANIM,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ALPS,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ALTEA,"820550006",Ajuntament de Sant Cugat del Vallès
PASSATGE,ALVAREZ,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ALVAREZ,"820550006",Ajuntament de Sant Cugat del Vallès
PASSEIG,ALZINA,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,AMAT,"820550006",Ajuntament de Sant Cugat del Vallès
PASSEIG,AMETLLER,"820550006",Ajuntament de Sant Cugat del Vallès
PASSATGE,AMISTAT,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,AMPOSTA,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ANDALUSIA,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ANDANA,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ANDES,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ANGEL GUIMERA,"820550006",Ajuntament de Sant Cugat del Vallès
JARDINS,ANNA MURIA,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ANOIA,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ANTIC DE CAN BORRULL,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ANTONI AGRAZ,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ANTONI BELL,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ANTONI CABALLE,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ANTONI DE SOLANELL,"820550006",Ajuntament de Sant Cugat del Vallès
PASSEIG,ANTONI GAUDI,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ANTONI PUIGVERT,"820550006",Ajuntament de Sant Cugat del Vallès
PLAÇA,ANYADA,"820550006",Ajuntament de Sant Cugat del Vallès
AUTOPISTA,AP-7,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,APENINS,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ARAGO,"820550006",Ajuntament de Sant Cugat del Vallès
PARC,ARBORETUM,"820550006",Ajuntament de Sant Cugat del Vallès
PASSEIG,ARBRE,"820550006",Ajuntament de Sant Cugat del Vallès
PLAÇA,ARBRES,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ARBUCIES,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ARBUSTOS,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ARGENTINA,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ARIBAU,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ARISTIDES MAILLOL,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ARNAU CADELL,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ARNAU DE VILANOVA,"820550006",Ajuntament de Sant Cugat del Vallès
PLAÇA,ARREUS,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ART,"820550006",Ajuntament de Sant Cugat del Vallès
CAMI,ASPANIAS,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ASSUTZENA,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ASTURIES,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,ASUNCION,"820550006",Ajuntament de Sant Cugat del Vallès
PLAÇA,AUGUSTA,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,AULADELL,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,AURELI CAPMANY,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,AURO,"820550006",Ajuntament de Sant Cugat del Vallès
PLAÇA,AUSIAS MARCH,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,AVEL.LINA CASADEVALL,"820550006",Ajuntament de Sant Cugat del Vallès
PASSEIG,AVELLANERS,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,AVET,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,AVILA,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,AYMERICH,"820550006",Ajuntament de Sant Cugat del Vallès
PLAÇA,BACH,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,BAGES,"820550006",Ajuntament de Sant Cugat del Vallès
PASSEIG,BAIXADOR,"820550006",Ajuntament de Sant Cugat del Vallès
RAMBLA,BAIXADOR,"820550006",Ajuntament de Sant Cugat del Vallès
AVINGUDA,BAIXADOR,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,BALADRE,"820550006",Ajuntament de Sant Cugat del Vallès
PASSATGE,BALAGUER,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,BALMES,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,BAMBU,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,BARCELONA,"820550006",Ajuntament de Sant Cugat del Vallès
PLAÇA,BARCELONA,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,BARCELONETA,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,BARDISSA,"820550006",Ajuntament de Sant Cugat del Vallès
PASSATGE,BARNADES,"820550006",Ajuntament de Sant Cugat del Vallès
PASSATGE,BARO DE COUBERTIN,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,BASCONIA,"820550006",Ajuntament de Sant Cugat del Vallès
PLAÇA,BASTERS,"820550006",Ajuntament de Sant Cugat del Vallès
PASSATGE,BATLLORI,"820550006",Ajuntament de Sant Cugat del Vallès
PLAÇA,BATUDA,"820550006",Ajuntament de Sant Cugat del Vallès
PASSATGE,BAULA,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,BECADA,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,BEETHOVEN,"820550006",Ajuntament de Sant Cugat del Vallès
AVINGUDA,BELL INDRET,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,BELLATERRA,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,BENET CORTADA,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,BENET DE MOXO,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,BERGA,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,BERGARA,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,BERNAT DESCLOT,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,BERNAT METGE,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,BESOS,"820550006",Ajuntament de Sant Cugat del Vallès
AVINGUDA,BILBAO,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,BISBE MORGADES,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,BLASCO IBAÑEZ,"820550006",Ajuntament de Sant Cugat del Vallès
PLAÇA,BLAT,"820550006",Ajuntament de Sant Cugat del Vallès
PASSATGE,BOBILES,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,BOBINES,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,BOLIVAR,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,BOLIVIA,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,BONA VISTA,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,BONAVENTURA DE GAYOLA,"820550006",Ajuntament de Sant Cugat del Vallès
PASSATGE,BONFILL,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,BORRELL,"820550006",Ajuntament de Sant Cugat del Vallès
PASSEIG,BOSC,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,BOSC GRAN,"820550006",Ajuntament de Sant Cugat del Vallès
PLAÇA,BOTERS,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,BRASIL,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,BRILLANT,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,BROLLADOR,"820550006",Ajuntament de Sant Cugat del Vallès
PASSATGE,BROS,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,BRUC,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,BUENOS AIRES,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,BURGOS,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,BUSCARONS,"820550006",Ajuntament de Sant Cugat del Vallès
CAMI,CA N'AMETLLER,"820550006",Ajuntament de Sant Cugat del Vallès
AVINGUDA,CA N'ENRIC,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,CABRERA,"820550006",Ajuntament de Sant Cugat del Vallès
PASSEIG,CAÇADORS,"820550006",Ajuntament de Sant Cugat del Vallès
PASSEIG,CADERNERA,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,CADI,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,CADIS,"820550006",Ajuntament de Sant Cugat del Vallès
PASSEIG,CALADO,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,CALANDRIA,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,CALDES DE MONTBUI,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,CALDES I ARUS,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,CALVARI,"820550006",Ajuntament de Sant Cugat del Vallès
PASSEIG,CAMELIES,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,CAMPANYA,"820550006",Ajuntament de Sant Cugat del Vallès
CARRER,CAMPOAMOR,"820550006",Ajuntament de Sant Cugat del Vallès
